City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Guerrero Negro,MX,2021-04-17 20:39:03,27.9769,-114.0611,66.29,57,2,19.17
68,Puerto Leguizamo,CO,2021-04-17 20:39:03,-0.1934,-74.7819,74.52,92,100,1.01
69,Ostrovnoy,RU,2021-04-17 20:39:04,68.0531,39.5131,30.06,82,91,2.48
70,Ngunguru,NZ,2021-04-17 20:39:04,-35.6167,174.5,57.99,87,52,4.92
71,Tevaitoa,PF,2021-04-17 20:39:04,-16.7833,-151.5,82.06,73,74,10.07
72,Cherskiy,RU,2021-04-17 20:39:05,68.75,161.3,20.71,72,1,25.64
73,Mataura,NZ,2021-04-17 20:39:05,-46.1927,168.8643,53.01,86,100,11.01
74,Castro,BR,2021-04-17 20:39:05,-24.7911,-50.0119,62.1,88,72,2.04
75,Zyryanka,RU,2021-04-17 20:39:06,65.75,150.85,30.36,67,100,19.44
76,Butaritari,KI,2021-04-17 20:39:06,3.0707,172.7902,82.26,76,100,7.45
77,Awjilah,LY,2021-04-17 20:39:06,29.1081,21.2869,88.07,11,80,9.6
78,Torbay,CA,2021-04-17 20:39:07,47.6666,-52.7314,36.0,93,90,19.57
79,Orotukan,RU,2021-04-17 20:39:07,62.2667,151.7,15.48,82,22,14.36
80,Bambous Virieux,MU,2021-04-17 20:39:07,-20.3428,57.7575,78.01,88,75,6.91
81,Ossora,RU,2021-04-17 20:39:08,59.2353,163.0719,21.45,80,5,5.84
82,Kapaa,US,2021-04-17 20:39:08,22.0752,-159.319,73.4,73,40,13.8
83,Arraial Do Cabo,BR,2021-04-17 20:39:08,-22.9661,-42.0278,78.8,83,40,17.27
84,Saint-Philippe,RE,2021-04-17 20:39:09,-21.3585,55.7679,75.2,88,90,3.44
85,Otane,NZ,2021-04-17 20:39:09,-39.8833,176.6333,57.0,73,4,8.01
86,Saint Anthony,US,2021-04-17 20:39:09,45.0205,-93.218,59.0,30,40,7.65
87,Kungurtug,RU,2021-04-17 20:39:10,50.5994,97.5228,32.52,82,99,1.88
88,Lavrentiya,RU,2021-04-17 20:39:10,65.5833,-171.0,31.68,89,100,11.5
89,Coquimbo,CL,2021-04-17 20:39:10,-29.9533,-71.3436,60.8,77,75,11.5
90,Fort Walton Beach,US,2021-04-17 20:39:11,30.4058,-86.6188,64.99,94,90,5.55
91,Airai,TL,2021-04-17 20:39:11,-8.9266,125.4092,58.08,83,94,2.1
92,Ziro,IN,2021-04-17 20:39:11,27.6333,93.8333,49.33,93,90,2.53
93,Padang,ID,2021-04-17 20:39:12,-0.9492,100.3543,75.36,85,100,3.47
94,Hofn,IS,2021-04-17 20:39:12,64.2539,-15.2082,45.01,97,100,13.09
95,Dunedin,NZ,2021-04-17 20:38:54,-45.8742,170.5036,55.99,57,100,5.01
96,Atuona,PF,2021-04-17 20:39:12,-9.8,-139.0333,80.31,76,46,18.92
97,Korla,CN,2021-04-17 20:39:13,41.7597,86.1469,62.26,26,96,5.97
98,Kisangani,CD,2021-04-17 20:39:13,0.5167,25.2,75.0,84,98,1.95
99,Luderitz,NA,2021-04-17 20:39:13,-26.6481,15.1594,78.49,36,37,3.36
100,Bolkhov,RU,2021-04-17 20:39:14,53.4433,36.0044,41.97,94,100,5.19
101,Petropavlovsk-Kamchatskiy,RU,2021-04-17 20:39:14,53.0452,158.6483,33.8,75,99,4.47
102,Bairiki,KI,2021-04-17 20:39:14,1.3292,172.9752,82.4,78,75,8.05
103,Rocha,UY,2021-04-17 20:39:15,-34.4833,-54.3333,63.25,87,11,5.44
104,Houston,US,2021-04-17 20:35:05,29.7633,-95.3633,64.4,72,40,12.66
105,Bograd,RU,2021-04-17 20:39:15,54.2344,90.8328,23.0,80,0,2.24
106,Saint-Francois,FR,2021-04-17 20:39:15,46.4154,3.9054,50.0,50,0,11.5
107,Balancan,MX,2021-04-17 20:39:16,17.8,-91.5333,109.33,18,91,7.52
108,North Bend,US,2021-04-17 20:39:16,43.4065,-124.2243,82.99,93,40,11.5
109,Cabo San Lucas,MX,2021-04-17 20:37:25,22.8909,-109.9124,84.2,34,1,5.75
110,Willowmore,ZA,2021-04-17 20:39:16,-33.2926,23.4895,65.41,24,42,3.69
111,Krabi,TH,2021-04-17 20:35:16,8.0726,98.9105,77.0,100,20,3.44
112,Saskylakh,RU,2021-04-17 20:39:17,71.9167,114.0833,6.87,95,100,11.3
113,Provideniya,RU,2021-04-17 20:39:17,64.3833,-173.3,29.3,90,97,6.46
114,Kapuskasing,CA,2021-04-17 20:35:51,49.4169,-82.4331,48.2,43,100,3.44
115,Olinda,BR,2021-04-17 20:39:18,-8.0089,-34.8553,75.2,83,75,4.61
116,Uyuni,BO,2021-04-17 20:39:18,-20.4597,-66.825,55.44,12,0,9.98
117,Limbang,MY,2021-04-17 20:39:18,4.75,115.0,77.0,100,75,5.75
118,Reedley,US,2021-04-17 20:39:18,36.5963,-119.4504,75.99,37,1,5.79
119,Comodoro Rivadavia,AR,2021-04-17 20:35:18,-45.8667,-67.5,64.4,52,0,6.91
120,Tezu,IN,2021-04-17 20:39:19,27.9167,96.1667,67.96,70,75,2.75
121,Douentza,ML,2021-04-17 20:39:19,14.9951,-2.9517,91.83,11,81,6.98
122,Khatanga,RU,2021-04-17 20:39:20,71.9667,102.5,-0.2,96,100,10.85
123,Puerto Escondido,MX,2021-04-17 20:39:20,15.85,-97.0667,86.0,70,20,10.36
124,Da Nang,VN,2021-04-17 20:39:20,16.0678,108.2208,75.2,88,20,5.95
125,Kavieng,PG,2021-04-17 20:39:21,-2.5744,150.7967,81.84,77,93,10.6
126,Hami,CN,2021-04-17 20:39:21,42.8,93.45,62.13,15,95,10.94
127,Aswan,EG,2021-04-17 20:39:21,24.0934,32.907,81.59,18,0,9.93
128,Basco,PH,2021-04-17 20:39:22,20.4487,121.9702,76.64,75,98,34.85
129,Zhigansk,RU,2021-04-17 20:39:22,66.7697,123.3711,12.94,95,100,8.08
130,Carnarvon,AU,2021-04-17 20:39:22,-24.8667,113.6333,76.14,65,1,5.3
131,Olafsvik,IS,2021-04-17 20:39:23,64.8945,-23.7142,36.59,80,100,10.98
132,Kashan,IR,2021-04-17 20:39:23,33.9831,51.4364,71.96,25,94,0.83
133,Port Lincoln,AU,2021-04-17 20:39:23,-34.7333,135.8667,56.77,78,17,4.38
134,Conde,BR,2021-04-17 20:39:23,-7.2597,-34.9075,77.0,100,75,5.75
135,Rio Gallegos,AR,2021-04-17 20:38:35,-51.6226,-69.2181,62.6,34,0,12.66
136,Broome,US,2021-04-17 20:39:24,42.2506,-75.833,48.0,75,90,9.22
137,Thompson,CA,2021-04-17 20:36:09,55.7435,-97.8558,33.8,60,90,11.5
138,Tamluk,IN,2021-04-17 20:39:24,22.3,87.9167,78.8,69,40,13.82
139,Dalbandin,PK,2021-04-17 20:39:25,28.8947,64.4101,75.45,15,63,2.89
140,Izhma,RU,2021-04-17 20:39:25,65.0083,53.9113,22.15,87,100,9.93
141,Jalu,LY,2021-04-17 20:39:25,29.0331,21.5482,89.94,9,73,7.54
142,Roma,US,2021-04-17 20:39:26,43.2128,-75.4557,50.0,57,90,11.5
143,Pangnirtung,CA,2021-04-17 20:39:26,66.1451,-65.7125,8.6,72,75,1.05
144,Basoko,CD,2021-04-17 20:39:26,1.2391,23.616,73.76,93,100,3.4
145,Caraquet,CA,2021-04-17 20:39:26,47.7941,-64.9386,37.4,65,100,9.22
146,Kieta,PG,2021-04-17 20:39:27,-6.2167,155.6333,81.18,76,95,2.26
147,Barrow,US,2021-04-17 20:39:27,71.2906,-156.7887,26.6,80,1,13.8
148,Rawson,AR,2021-04-17 20:39:27,-43.3002,-65.1023,65.26,47,99,20.22
149,Champerico,GT,2021-04-17 20:39:28,14.3,-91.9167,93.2,49,40,9.22
150,Severo-Kurilsk,RU,2021-04-17 20:39:28,50.6789,156.125,36.99,69,100,5.37
151,Price,US,2021-04-17 20:39:28,39.5994,-110.8107,48.2,25,1,16.11
152,Anloga,GH,2021-04-17 20:39:29,5.7947,0.8973,82.4,78,40,4.61
153,Huayang,CN,2021-04-17 20:39:29,34.4155,109.9939,46.13,47,100,3.87
154,Pontianak,ID,2021-04-17 20:39:29,-0.0333,109.3333,77.0,100,75,2.3
155,Sao Miguel Do Araguaia,BR,2021-04-17 20:39:29,-13.275,-50.1628,80.33,66,100,2.21
156,Burla,IN,2021-04-17 20:39:30,21.5,83.8667,82.29,28,79,3.33
157,Ixtapa,MX,2021-04-17 20:39:30,20.7,-105.2,80.6,57,1,10.36
158,Lannion,FR,2021-04-17 20:39:30,48.75,-3.4167,44.6,70,0,3.44
159,Lata,PT,2021-04-17 20:39:31,40.1629,-8.3327,59.0,72,0,4.61
160,Damietta,EG,2021-04-17 20:39:31,31.4165,31.8133,68.0,83,0,11.5
161,Gorom-Gorom,BF,2021-04-17 20:39:31,14.4439,-0.2361,91.33,25,100,6.67
162,Washington,US,2021-04-17 20:39:32,47.5001,-120.5015,75.99,23,0,5.35
163,Batemans Bay,AU,2021-04-17 20:39:32,-35.7167,150.1833,53.01,88,34,4.12
164,Prado,BR,2021-04-17 20:39:32,-17.3411,-39.2208,76.06,74,37,7.36
165,Port Elizabeth,ZA,2021-04-17 20:39:32,-33.918,25.5701,57.2,94,40,2.3
