City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Marsh Harbour,BS,75.79,clear sky,26.5412,-77.0636,Abaco Beach Resort
420,Lindi,TZ,75.2,few clouds,-10.0,39.7167,Lindi paradise house
428,Fram,PY,73.4,moderate rain,-26.9833,-55.8833,Albergue Ja'umina
429,Mazamari,PE,70.32,scattered clouds,-11.3258,-74.5308,Hospedaje Ratto
435,Awjilah,LY,69.49,few clouds,29.1081,21.2869,
450,Mbandaka,CD,73.67,broken clouds,0.0487,18.2603,Guest House Epervier
452,Sao Gabriel Da Cachoeira,BR,73.4,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
453,Darab,IR,71.26,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
469,Balaipungut,ID,77.0,scattered clouds,1.05,101.2833,
470,Sambava,MG,75.0,light rain,-14.2667,50.1667,Melrose
473,Fallon,US,69.8,few clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
481,Bayji,IQ,69.85,clear sky,34.9311,43.486999999999995,قريه جديده
483,Champerico,GT,70.0,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
486,Maceio,BR,75.2,scattered clouds,-9.6658,-35.7353,Poutur Pousada
487,Sinnamary,GF,77.59,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
500,Seoul,KR,68.0,clear sky,37.5683,126.9778,Lotte Hotel Seoul
503,Saint-Joseph,RE,75.2,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
507,Kingsville,US,73.4,overcast clouds,27.5159,-97.8561,Econo Lodge Kingsville
510,Jaguey Grande,CU,75.2,clear sky,22.5269,-81.1286,Hostal lleana
512,Kaeo,NZ,71.01,overcast clouds,-35.1,173.7833,Bushido Lodge
521,Gemena,CD,68.94,moderate rain,3.25,19.7667,Hôtel Goshen
535,Ndele,CF,76.95,broken clouds,8.4109,20.6473,
538,Catalina,US,71.01,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
544,Paita,PE,71.4,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
545,Cacule,BR,67.42,overcast clouds,-14.5033,-42.2222,Radar Palace Hotel
550,Victoria Point,AU,75.0,clear sky,-27.5833,153.3,Bay Retreat Motel
555,Santa Clara,CU,77.0,few clouds,22.4,-79.9667,El Carmen
557,Kingaroy,AU,72.0,clear sky,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
560,Kuah,MY,77.0,scattered clouds,6.3265,99.8432,Azio Hotel
564,Nkwerre,NG,76.62,overcast clouds,5.7556,7.1063,"Trinity Home, ISHI Owerre, Owerre- Nkworji"
567,Inongo,CD,72.91,broken clouds,-1.95,18.2667,Hotel Du Lac
569,Sultepec,MX,68.0,scattered clouds,18.8667,-99.95,Hotel 7 Espadas
571,Nalut,LY,73.33,few clouds,30.3333,10.85,
573,Emerald,AU,72.0,overcast clouds,-23.5333,148.1667,The Irish Village
574,Tonj,SS,77.7,overcast clouds,7.2737,28.6822,
581,Caravelas,BR,72.95,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
586,Tikrit,IQ,71.74,clear sky,34.6071,43.6782,فندق تكريت بلازا
608,Jalu,LY,69.06,clear sky,29.0331,21.5482,صاحبة الفخامة
609,Alberdi,AR,69.8,light rain,-32.8899,-60.6906,Green House.river
617,Kindu,CD,70.68,overcast clouds,-2.95,25.95,Résidence Okanda
622,Mackay,AU,73.4,light rain,-21.15,149.2,International Lodge Motel
635,Baixa Grande,BR,71.17,moderate rain,-11.9597,-40.1681,Pousada Requinte
638,Pokhara,NP,75.22,clear sky,28.2333,83.9833,Butterfly Lodge
640,Nizwa,OM,76.68,clear sky,22.9333,57.5333,Orient Apartments
642,Surt,LY,71.85,few clouds,31.2089,16.5887,الهادي ابوشعاله سرت
643,Manacapuru,BR,75.2,scattered clouds,-3.2997,-60.6206,Novo Hotel
650,Bam,IR,75.24,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
654,Mamou,GN,75.87,broken clouds,10.5,-12.0,
661,Mitu,CO,74.34,heavy intensity rain,1.1983,-70.1733,
665,Kapoeta,SS,75.97,overcast clouds,4.7717,33.5903,Eastgate Hotel
668,Manakara,MG,70.38,light rain,-22.1333,48.0167,La Residence Manakara
671,Ferkessedougou,CI,74.82,overcast clouds,9.6,-5.2,Hotel Chateau
682,Kaihua,CN,73.11,scattered clouds,23.3687,104.28,Zhongyu Hotel
687,Cap Malheureux,MU,73.99,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
692,Mangan,IN,72.61,clear sky,27.5167,88.5333,Hotel Mout View
693,Camana,PE,68.11,broken clouds,-16.6228,-72.7111,Hostal Morales
